step,train_loss,train_acc,test_loss,test_acc
1,4.735960,0.0091,4.745359,0.0096
100,1.891350,0.5603,8.034294,0.0241
200,0.019715,1.0000,15.051095,0.0572
300,0.006884,1.0000,15.271766,0.0658
400,0.002230,1.0000,15.840691,0.0738
500,0.000738,1.0000,16.414856,0.0847
600,0.000248,1.0000,16.938940,0.0923
700,0.000085,1.0000,17.406178,0.0998
800,0.000029,1.0000,17.769442,0.1104
900,0.000010,1.0000,18.014942,0.1189
1000,0.000004,1.0000,18.121227,0.1291
1100,0.000002,1.0000,18.013777,0.1401
1200,0.000001,1.0000,17.637796,0.1499
1300,0.000000,1.0000,17.058455,0.1594
1400,0.000000,1.0000,16.394392,0.1690
1500,0.000000,1.0000,15.841990,0.1773
1600,0.000000,1.0000,15.812661,0.1825
1700,0.001423,1.0000,9.115023,0.1995
1800,0.007903,1.0000,6.339837,0.2141
1900,0.004405,1.0000,6.202801,0.2290
2000,0.001638,1.0000,6.088726,0.2571
2100,0.000568,1.0000,5.657846,0.2940
2200,0.000190,1.0000,4.828654,0.3593
2300,0.000062,1.0000,3.666396,0.4447
2400,0.000020,1.0000,2.360793,0.5765
2500,0.000006,1.0000,1.224262,0.7362
2600,0.000002,1.0000,0.474725,0.8747
2700,0.000001,1.0000,0.127895,0.9580
2800,0.000000,1.0000,0.025655,0.9911
2900,0.000000,1.0000,0.004177,0.9989
3000,0.000000,1.0000,0.000930,0.9997
3100,0.000000,1.0000,0.000419,0.9999
3200,0.000145,1.0000,0.003477,0.9991
3300,0.001204,1.0000,0.004144,1.0000
3400,0.002059,1.0000,0.005902,1.0000
3500,0.000742,1.0000,0.002300,1.0000
3600,0.000253,1.0000,0.000891,1.0000
3700,0.000086,1.0000,0.000360,1.0000
3800,0.000030,1.0000,0.000159,1.0000
3900,0.000010,1.0000,0.000075,1.0000
4000,0.000004,1.0000,0.000036,1.0000
4100,0.000001,1.0000,0.000018,1.0000
4200,0.000001,1.0000,0.000009,1.0000
4300,0.000000,1.0000,0.000005,1.0000
4400,0.000000,1.0000,0.000002,1.0000
4500,0.000303,1.0000,0.001271,0.9997
4600,0.000233,1.0000,0.000413,1.0000
4700,0.000420,1.0000,0.000795,1.0000
4800,0.000165,1.0000,0.000401,1.0000
4900,0.000058,1.0000,0.000192,1.0000
5000,0.000020,1.0000,0.000093,1.0000
5100,0.000007,1.0000,0.000048,1.0000
5200,0.000003,1.0000,0.000026,1.0000
5300,0.000001,1.0000,0.000014,1.0000
5400,0.000000,1.0000,0.000008,1.0000
5500,0.000000,1.0000,0.000004,1.0000
5600,0.000000,1.0000,0.000002,1.0000
5700,0.000081,1.0000,0.000432,1.0000
5800,0.000232,1.0000,0.000377,1.0000
5900,0.000309,1.0000,0.000550,1.0000
6000,0.000120,1.0000,0.000273,1.0000
6100,0.000043,1.0000,0.000134,1.0000
6200,0.000015,1.0000,0.000070,1.0000
6300,0.000006,1.0000,0.000038,1.0000
6400,0.000002,1.0000,0.000020,1.0000
6500,0.000001,1.0000,0.000010,1.0000
6600,0.000000,1.0000,0.000005,1.0000
6700,0.000000,1.0000,0.000003,1.0000
6800,0.000000,1.0000,0.000002,1.0000
6900,0.000184,1.0000,0.000760,1.0000
7000,0.000610,1.0000,0.000974,1.0000
7100,0.001777,1.0000,0.002650,1.0000
7200,0.000750,1.0000,0.001303,1.0000
7300,0.000274,1.0000,0.000569,1.0000
7400,0.000097,1.0000,0.000251,1.0000
7500,0.000034,1.0000,0.000115,1.0000
7600,0.000012,1.0000,0.000054,1.0000
