step,train_loss,train_acc,test_loss,test_acc,restricted_test,excluded_train,full_test,wnorm
1,4.735960,0.009138,4.745359,0.009621,4.736453,4.730533,4.739633,41.922878
100,1.891350,0.560313,8.034294,0.024052,5.148548,2.408278,8.034370,53.271126
200,0.019715,1.000000,15.051095,0.057165,5.906467,0.791946,15.051100,60.173492
300,0.006884,1.000000,15.271766,0.065779,5.676008,0.639725,15.271772,59.618126
400,0.002230,1.000000,15.840691,0.073834,5.549409,0.557966,15.840564,59.417892
500,0.000738,1.000000,16.414856,0.084685,5.431393,0.524435,16.414946,59.344013
600,0.000248,1.000000,16.938940,0.092292,5.308298,0.533799,16.939108,59.340702
700,0.000085,1.000000,17.406178,0.099787,5.174735,0.580723,17.406158,59.356575
800,0.000029,1.000000,17.769442,0.110415,5.018305,0.664227,17.769243,59.334274
900,0.000010,1.000000,18.014942,0.118917,4.821287,0.789651,18.014933,59.220516
1000,0.000004,1.000000,18.121227,0.129097,4.595402,0.953737,18.121275,58.962803
1100,0.000002,1.000000,18.013777,0.140060,4.318860,1.145516,18.014021,58.517136
1200,0.000001,1.000000,17.637796,0.149905,3.999447,1.333248,17.637848,57.852505
1300,0.000000,1.000000,17.058455,0.159414,3.658825,1.492200,17.058327,57.010601
1400,0.000000,1.000000,16.394392,0.169035,3.341427,1.639416,16.394474,56.127102
1500,0.000000,1.000000,15.841990,0.177313,3.076788,1.849788,15.841935,55.430630
1600,0.000000,1.000000,15.812661,0.182459,2.960471,2.390718,15.812798,55.289433
1700,0.001423,1.000000,9.115023,0.199463,2.141472,2.364544,9.115065,50.636333
1800,0.007903,1.000000,6.339837,0.214118,1.951332,1.853504,6.339791,47.873695
1900,0.004405,1.000000,6.202801,0.228997,1.671002,2.210208,6.202735,48.434124
2000,0.001638,1.000000,6.088726,0.257076,1.338112,2.794172,6.088598,49.355404
2100,0.000568,1.000000,5.657846,0.293993,0.967174,3.634878,5.657946,50.132904
2200,0.000190,1.000000,4.828654,0.359324,0.592089,4.765405,4.828661,50.578747
2300,0.000062,1.000000,3.666396,0.444681,0.291717,6.199793,3.666368,50.626045
2400,0.000020,1.000000,2.360793,0.576463,0.109903,7.874765,2.360791,50.257385
2500,0.000006,1.000000,1.224262,0.736212,0.031079,9.662787,1.224185,49.479488
2600,0.000002,1.000000,0.474725,0.874706,0.005899,11.284363,0.474726,48.334957
2700,0.000001,1.000000,0.127895,0.958049,0.000591,12.526570,0.127910,46.898529
2800,0.000000,1.000000,0.025655,0.991050,0.000094,13.293669,0.025654,45.295254
2900,0.000000,1.000000,0.004177,0.998881,0.000057,13.862976,0.004176,43.620979
3000,0.000000,1.000000,0.000930,0.999664,0.000025,14.194171,0.000930,42.036350
3100,0.000000,1.000000,0.000419,0.999888,0.000002,13.735140,0.000418,41.172718
3200,0.000145,1.000000,0.003477,0.999105,0.000220,12.318742,0.003472,39.402836
3300,0.001204,1.000000,0.004144,1.000000,0.001195,6.816196,0.004144,36.107494
3400,0.002059,1.000000,0.005902,1.000000,0.002200,6.102197,0.005901,35.601234
3500,0.000742,1.000000,0.002300,1.000000,0.000761,6.340914,0.002300,35.974575
3600,0.000253,1.000000,0.000891,1.000000,0.000256,6.722357,0.000891,36.446651
3700,0.000086,1.000000,0.000360,1.000000,0.000087,7.185958,0.000360,36.923203
3800,0.000030,1.000000,0.000159,1.000000,0.000031,7.705509,0.000159,37.362984
3900,0.000010,1.000000,0.000075,1.000000,0.000011,8.237876,0.000075,37.716061
4000,0.000004,1.000000,0.000036,1.000000,0.000004,8.746418,0.000036,37.936241
4100,0.000001,1.000000,0.000018,1.000000,0.000002,9.225423,0.000018,37.990475
4200,0.000001,1.000000,0.000009,1.000000,0.000001,9.664799,0.000009,37.850208
4300,0.000000,1.000000,0.000005,1.000000,0.000000,9.985805,0.000005,37.510189
4400,0.000000,1.000000,0.000002,1.000000,0.000000,9.987098,0.000002,37.139320
4500,0.000303,1.000000,0.001271,0.999664,0.000530,13.836190,0.001270,37.140934
4600,0.000233,1.000000,0.000413,1.000000,0.000183,7.368856,0.000413,34.002335
4700,0.000420,1.000000,0.000795,1.000000,0.000377,7.557982,0.000795,33.611584
4800,0.000165,1.000000,0.000401,1.000000,0.000146,8.702821,0.000401,34.373890
4900,0.000058,1.000000,0.000192,1.000000,0.000053,9.599802,0.000192,35.178535
5000,0.000020,1.000000,0.000093,1.000000,0.000019,10.350182,0.000093,35.918453
5100,0.000007,1.000000,0.000048,1.000000,0.000007,11.006264,0.000048,36.531788
5200,0.000003,1.000000,0.000026,1.000000,0.000003,11.581139,0.000026,36.957397
5300,0.000001,1.000000,0.000014,1.000000,0.000001,12.070082,0.000014,37.131382
5400,0.000000,1.000000,0.000008,1.000000,0.000001,12.424164,0.000008,37.006725
5500,0.000000,1.000000,0.000004,1.000000,0.000000,12.479740,0.000004,36.611580
5600,0.000000,1.000000,0.000002,1.000000,0.000000,11.943672,0.000002,36.226322
5700,0.000081,1.000000,0.000432,1.000000,0.000310,13.918607,0.000432,36.046680
5800,0.000232,1.000000,0.000377,1.000000,0.000184,7.770407,0.000377,33.060257
5900,0.000309,1.000000,0.000550,1.000000,0.000281,8.475255,0.000550,32.889050
6000,0.000120,1.000000,0.000273,1.000000,0.000114,9.733727,0.000273,33.590279
6100,0.000043,1.000000,0.000134,1.000000,0.000044,10.794949,0.000134,34.312134
6200,0.000015,1.000000,0.000070,1.000000,0.000018,11.761493,0.000070,34.965961
6300,0.000006,1.000000,0.000038,1.000000,0.000008,12.659172,0.000038,35.499680
6400,0.000002,1.000000,0.000020,1.000000,0.000004,13.477346,0.000020,35.866669
6500,0.000001,1.000000,0.000010,1.000000,0.000002,14.199060,0.000010,36.018879
6600,0.000000,1.000000,0.000005,1.000000,0.000001,14.754212,0.000005,35.913349
6700,0.000000,1.000000,0.000003,1.000000,0.000001,14.961952,0.000003,35.577335
6800,0.000000,1.000000,0.000002,1.000000,0.000000,14.354516,0.000002,35.317112
6900,0.000184,1.000000,0.000760,1.000000,0.000384,17.368376,0.000759,35.204453
7000,0.000610,1.000000,0.000974,1.000000,0.000529,8.464418,0.000975,32.044437
7100,0.001777,1.000000,0.002650,1.000000,0.001610,7.564911,0.002650,31.294348
7200,0.000750,1.000000,0.001303,1.000000,0.000644,8.478820,0.001303,32.178219
7300,0.000274,1.000000,0.000569,1.000000,0.000235,9.225719,0.000569,33.150181
7400,0.000097,1.000000,0.000251,1.000000,0.000084,9.816239,0.000251,34.083775
7500,0.000034,1.000000,0.000115,1.000000,0.000030,10.307501,0.000115,34.930786
7600,0.000012,1.000000,0.000054,1.000000,0.000011,10.741516,0.000054,35.660824
